[2024-06-24T09:15:29.823628][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:29.766482258Z","@version":"1","message":"HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@48f6f272","logger_name":"com.zaxxer.hikari.pool.HikariPool","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
[2024-06-24T09:15:29.831688][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:29.775037285Z","@version":"1","message":"HikariPool-1 - Start completed.","logger_name":"com.zaxxer.hikari.HikariDataSource","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
[2024-06-24T09:15:29.895323][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:29.838643124Z","@version":"1","message":"Database: jdbc:postgresql://cat-api-postgres:5432/cats (PostgreSQL 15.2)","logger_name":"org.flywaydb.core.internal.database.base.BaseDatabaseType","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
[2024-06-24T09:15:29.904943][CAT-API][OTHER] cat-api              | {"@timestamp":"2024-06-24T09:15:29.848886074Z","@version":"1","message":"Flyway upgrade recommended: PostgreSQL 15.2 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 14.","logger_name":"org.flywaydb.core.internal.database.base.Database","thread_name":"main","level":"WARN","level_value":30000,"instance":"0430a1544f92"}
[2024-06-24T09:15:29.945053][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:29.889161635Z","@version":"1","message":"Successfully validated 2 migrations (execution time 00:00.026s)","logger_name":"org.flywaydb.core.internal.command.DbValidate","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
[2024-06-24T09:15:29.956990][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:29.901755747Z","@version":"1","message":"Current version of schema \"public\": 2","logger_name":"org.flywaydb.core.internal.command.DbMigrate","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
[2024-06-24T09:15:29.959568][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:29.903763872Z","@version":"1","message":"Schema \"public\" is up to date. No migration necessary.","logger_name":"org.flywaydb.core.internal.command.DbMigrate","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
[2024-06-24T09:15:31.908654][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:31.865145816Z","@version":"1","message":"Exposing 2 endpoint(s) beneath base path '/actuator'","logger_name":"org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
[2024-06-24T09:15:32.003973][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:31.961013963Z","@version":"1","message":"Starting ProtocolHandler [\"http-nio-8080\"]","logger_name":"org.apache.coyote.http11.Http11NioProtocol","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
[2024-06-24T09:15:32.044117][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:32.001482735Z","@version":"1","message":"Tomcat started on port(s): 8080 (http) with context path ''","logger_name":"org.springframework.boot.web.embedded.tomcat.TomcatWebServer","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
[2024-06-24T09:15:32.071818][CAT-API][INFO] cat-api              | {"@timestamp":"2024-06-24T09:15:32.028931948Z","@version":"1","message":"Started CatApplicationKt in 5.464 seconds (process running for 8.112)","logger_name":"org.jetbrains.CatApplicationKt","thread_name":"main","level":"INFO","level_value":20000,"instance":"0430a1544f92"}
